date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:54	44971/44971	---M-Z	200	added ('OK')	text/html	etag:%22afab-6220d31705073-gzip%22	https://templates.iqonic.design/booksto-dist/html/auth/confirm-mail.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/auth/confirm-mail.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:55	45248/45248	---M-Z	200	added ('OK')	text/html	etag:%22b0c0-6220d31705073-gzip%22	https://templates.iqonic.design/booksto-dist/html/auth/lock-screen.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/auth/lock-screen.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:55	45349/45349	---M-Z	200	added ('OK')	text/html	etag:%22b125-6220d31706014-gzip%22	https://templates.iqonic.design/booksto-dist/html/auth/two-factor.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/auth/two-factor.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:55	45378/45378	---M-Z	200	added ('OK')	text/html	etag:%22b142-6220d31705073-gzip%22	https://templates.iqonic.design/booksto-dist/html/auth/account-deactivate.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/auth/account-deactivate.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:56	206712/206712	---M-Z	200	added ('OK')	text/html	etag:%2232778-6220d317188fa-gzip%22	https://templates.iqonic.design/booksto-dist/html/user/user-profile.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/user/user-profile.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:56	202042/202042	---M-Z	200	added ('OK')	text/html	etag:%223153a-6220d317188fa-gzip%22	https://templates.iqonic.design/booksto-dist/html/user/user-edit.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/user/user-edit.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:56	195747/195747	---M-Z	200	added ('OK')	text/html	etag:%222fca3-6220d317188fa-gzip%22	https://templates.iqonic.design/booksto-dist/html/user/user-add.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/user/user-add.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:56	207531/207531	---M-Z	200	added ('OK')	text/html	etag:%2232aab-6220d317188fa-gzip%22	https://templates.iqonic.design/booksto-dist/html/user/user-list.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/user/user-list.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:56	43733/43733	---M-Z	200	added ('OK')	text/html	etag:%22aad5-6220d31706fb4-gzip%22	https://templates.iqonic.design/booksto-dist/html/extra-pages/errors/error404.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/extra-pages/errors/error404.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:57	43749/43749	---M-Z	200	added ('OK')	text/html	etag:%22aae5-6220d31706fb4-gzip%22	https://templates.iqonic.design/booksto-dist/html/extra-pages/errors/error500.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/extra-pages/errors/error500.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:57	45028/45028	---M-Z	200	added ('OK')	text/html	etag:%22afe4-6220d31706fb4-gzip%22	https://templates.iqonic.design/booksto-dist/html/extra-pages/errors/maintenance.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/extra-pages/errors/maintenance.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:57	46598/46598	---M-Z	200	added ('OK')	text/html	etag:%22b606-6220d31706fb4-gzip%22	https://templates.iqonic.design/booksto-dist/html/extra-pages/coming-soon.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/extra-pages/coming-soon.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:58	197741/197741	---M-Z	200	added ('OK')	text/html	etag:%223046d-6220d31706fb4-gzip%22	https://templates.iqonic.design/booksto-dist/html/extra-pages/faq.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/extra-pages/faq.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:58	187251/187251	---M-Z	200	added ('OK')	text/html	etag:%222db73-6220d31706fb4-gzip%22	https://templates.iqonic.design/booksto-dist/html/charts/morris-chart.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/charts/morris-chart.html	(from https://templates.iqonic.design/booksto-dist/html/)
